reaction	GPR	score	normalized_score
R_13PPDH	BHNFPM_00795	191.0	0.7
R_13PPDH2	BHNFPM_03422	271.0	1.0
R_13PPDH2_1	BHNFPM_03422	273.0	1.0
R_14GLUCANabcpp	((BHNFPM_00319 and BHNFPM_01525) or BHNFPM_04338)	60.4	0.2
R_1P2CBXLCYCL	spontaneous	0.0	0.0
R_23PDE2pp	BHNFPM_03821	646.0	2.4
R_23PDE4pp	BHNFPM_03821	646.0	2.4
R_23PDE7pp	BHNFPM_03821	646.0	2.4
R_23PDE9pp	BHNFPM_03821	646.0	2.4
R_2AACLPGT160	BHNFPM_01290	44.3	0.2
R_2AACLPGT161	BHNFPM_01290	44.3	0.2
R_2AACLPGT180	BHNFPM_01290	44.3	0.2
R_2AACLPGT181	BHNFPM_01290	44.3	0.2
R_2AACLPPEAT160	BHNFPM_01290	44.3	0.2
R_2AACLPPEAT161	BHNFPM_01290	44.3	0.2
R_2AACLPPEAT180	BHNFPM_01290	44.3	0.2
R_2AACLPPEAT181	BHNFPM_01290	44.3	0.2
R_2AGPE160tipp	BHNFPM_01290	44.3	0.2
R_2AGPE161tipp	BHNFPM_01290	44.3	0.2
R_2AGPE180tipp	BHNFPM_01290	44.3	0.2
R_2AGPE181tipp	BHNFPM_01290	44.3	0.2
R_2AGPG160tipp	BHNFPM_01290	44.3	0.2
R_2AGPG161tipp	BHNFPM_01290	44.3	0.2
R_2AGPG180tipp	BHNFPM_01290	44.3	0.2
R_2AGPG181tipp	BHNFPM_01290	44.3	0.2
R_2INSD	BHNFPM_00281	357.0	1.3
R_2MAHMP	BHNFPM_01143	43.1	0.2
R_2OBUTtex	BHNFPM_00649	67.4	0.3
R_2S6HCCi	BHNFPM_03358	528.0	2.0
R_34HPPOR	BHNFPM_00545	315.0	1.2
R_3HAD100	BHNFPM_00731	105.0	0.4
R_3HAD120	BHNFPM_00731	105.0	0.4
R_3HAD140	BHNFPM_00731	105.0	0.4
R_3MBt2pp	BHNFPM_04119	350.0	1.3
R_3MBt4pp	BHNFPM_04119	350.0	1.3
R_3MBtex	BHNFPM_00649	67.4	0.3
R_3NTD2pp	BHNFPM_03821	644.0	2.4
R_3NTD4pp	BHNFPM_03821	646.0	2.4
R_3NTD7pp	BHNFPM_03821	646.0	2.4
R_3NTD9pp	BHNFPM_03821	646.0	2.4
R_3NUCLE1	BHNFPM_03821	684.0	2.6
R_3NUCLE2	BHNFPM_03821	684.0	2.6
R_3NUCLE3	BHNFPM_03821	684.0	2.6
R_3NUCLE4	BHNFPM_03821	684.0	2.6
R_3OXCOAT	BHNFPM_00528	459.0	1.7
R_3PEPTabcpp	((BHNFPM_02296 and BHNFPM_03762) or BHNFPM_01047 or BHNFPM_03967)	131.0	0.5
R_4ABUTD	BHNFPM_03431	759.0	2.9
R_4ABUTabcpp	(BHNFPM_00317 and BHNFPM_00574 and BHNFPM_00916)	107.625	0.4
R_4ABZGLUH	BHNFPM_01054	84.5	0.3
